Queen,3588218,2014,Short,Musical,Romance,English,Ben Fine,Justin Sean Kelly,Antonevia Ocho-Coultes,NA,NA,NA,"In this reversal of Henry Purcell's famous 1689 aria, 'Dido's Lament,' Queen Dido kills Aeneas by biting him to death, instead of killing herself, as Virgil would have it. Here, Queen Dido is an opera singer from Trinidad who is inspired by the post-coital cannibalism of praying mantises. She sings the famous lament to lure Aeneas, a New York graffiti artist, to her industrial boudoir. Once Aeneas arrives, he is summoned by a strange, giggling and sleepy guard who instructs him to lay down on the Shag Carpet of Death. Aeneas awaits his doom, almost desiring it. When Queen Dido arrives they begin to have sex, an enjoyment that ends in tragedy as Queen Dido carries out her insect-inspired desire.",NA,NA,https://www.imdb.com/title/tt3588218/
Children of Heaven,0118849,1997,Drama,Family,Sport,Persian,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,NA,NA,NA,"Zahra's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zahra until they come up with an idea: they will share one pair of shoes, Ali's. School awaits. Will the plan succeed?",8.3,69599,https://www.imdb.com/title/tt0118849/
Bhaag Milkha Bhaag,2356180,2013,Biography,Drama,Sport,Hindi,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Paresh Mestry,Namitha Ramaiah,Pankaj Sharma,"The true story of the ""Flying Sikh"" - world champion runner and Olympian Milkha Singh -- who overcame the massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes.",8.2,64340,https://www.imdb.com/title/tt2356180/
Kahaani,1821480,2012,Mystery,Thriller,NA,Hindi,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,NA,NA,NA,"Kolkata is abuzz with the preparations for the annual Durga Puja festival, as seven months pregnant Vidya Bagchi steps off the airplane from London. Her first stop is the local police station to file a missing person report. Weeks ago, her husband Arnab arrived in India for a job assignment. The first two weeks, they talked daily on the phone, and then without explanation, his calls stopped. Everywhere Vidya turns, no one can remember Arnab. There is no trace of him at the guest house or his workplace. But Vidya will not give up her search. Somewhere in Kolkata she will discover the dangerous truth.",8.1,60072,https://www.imdb.com/title/tt1821480/
Ghajini,1166100,2008,Action,Drama,Mystery,Hindi,Aamir Khan,Asin Thottumkal,Jiah Khan,Juhi Shekhar,NA,NA,"Medical student, Sunita, is driven by curiosity to study the case of Sanjay Singhania, who is afflicted with short-term memory loss. She runs into him, befriends him, and finds out that he is out to kill a seemingly benevolent citizen, Ghajini Dharmatma. After warning the latter of the impending danger, she subsequently comes across a number of diaries written by Sanjay and attempts to put together a jigsaw puzzle as to how a successful and wealthy businessman became a crazed recluse, who re-lives his past through tattoos on his body, notes and Polaroid photographs on the wall of his Hiranandani Complex flat, and his sole obsession of carrying out his deadly mission - little knowing that Ghajini and his goons are out to erase every bit of evidence he has gathered and thus ensure that he ends up remembering nothing.",7.3,58368,https://www.imdb.com/title/tt1166100/
Andhadhun,8108198,2018,Crime,Drama,Music,Hindi,Ayushmann Khurrana,Tabu,Radhika Apte,Pranay Chaure,Priya Ju,Shashank Nigam,Akash a blind pianist is preparing for a London concert.Sophie's scooter bumps into Akash and upon finding he a pianist she takes him to her restaurant Franco's run by her father and offers him a job.Akash meets 70s actor Pramod Sinha at the restaurant who asks him to do a private concert of his songs at his residence to surprise his wife Simi. Next Day upon reaching his house a shocking surprise is waiting for Akash.,8.2,81384,https://www.imdb.com/title/tt8108198/
Hera Pheri,0242519,2000,Action,Comedy,Crime,Hindi,Akshay Kumar,Sunil Shetty,Paresh Rawal,NA,NA,NA,"Baburao is a landlord in India, who is very near-sighted, and always in financial trouble. He has a tenant named Raja, who has not paid his rent for several months. He also has anther tenant named Shyam, who has come to the city to look for a job in his late father's place, but is unable to find employment. The three men quarrel amongst themselves frequently. Then one day, the three men get a phone call from a kidnapper named Kabira, and decide to make use of this phone call to overcome their financial problems - pretend to be the real kidnappers, increase the ransom amount, keep the incremental amount for themselves, and then give the original ransom demanded to Kabira. Will they get away with this idea?",8.2,61443,https://www.imdb.com/title/tt0242519/
Airlift,4387040,2016,Drama,History,NA,Hindi,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Anuprita Ahale,Ruchipujara,NA,"It is in this scenario that Ranjit Katyal (played by Akshay Kumar), a wealthy and powerful Indian businessman, who has always seen himself as a Kuwaiti, rather than an Indian, realizes that he no longer wields any influence on the Iraqis, and that he and his family are in as much danger as anyone else. Ranjit unknowingly becomes the man who all 170,000 Indians look up to for getting them out safely from Kuwait. Airlift is the story of Indians stranded in Kuwait during this traumatic time. A story of how they, with the help of Ranjit Katyal, managed to survive the Iraqi invasion, and against all odds traveled a thousand kilometers across the border into Amman, Jordan. From Amman, 170,000 Indians were brought home by the largest and the most successful evacuation ever attempted by any country, in the history of the world. Over 59 days, the Indian government systematically flew over 488 Air India commercial flights into a war zone to evacuate all 170,000 Indians and safely bring them back home. Airlift is an uplifting and entertaining edge-of-the-seat thriller and is the story of the biggest ever human evacuation in the history of mankind.",8.0,54717,https://www.imdb.com/title/tt4387040/
Sholay,0073707,1975,Action,Adventure,Comedy,Hindi,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,NA,NA,NA,"Sholay means embers in Hindi. In this particular movie, a Police Officer, who's family was killed by a bandit named Gabbar Singh, decides to fight fire with fire and recruits two convicts, Jai and Veeru to capture Gabbar. He approaches them in jail, puts the proposal in front of them, and they agree to bring in Gabbar Singh alive - for a hefty price. After their discharge from jail, they travel by train to the village where the Police Officer lives - now with only his widowed daughter-in-law. The three band together to fight one of the most elusive and dreaded bandits of all time. Will the two ex-cons be able to bring Gabbar alive to the Police Officer?",8.2,53392,https://www.imdb.com/title/tt0073707/
Don 2,1285241,2011,Action,Crime,Thriller,Hindi,Shah Rukh Khan,Priyanka Chopra Jonas,Boman Irani,Abdul Quadir Amin,Zainab Badani,Markus Bendler,"Having conquered the Asian underworld, Don (Shah Rukh Khan) now has his sights set on European domination. In his way are the bosses of the existing European underworld and all law enforcement agencies. The action shifts from Kuala Lumpur to Berlin as Don must avoid assassination or arrest, whichever comes first, in order for his plan to succeed.",7.1,51046,https://www.imdb.com/title/tt1285241/
